"","name","ALIGN","EYE","HAIR","SEX"
"4","Iron Man (Anthony \""Tony\"" Stark)","Good Characters","Blue Eyes","Black Hair","Male Characters"
"38","Luke Cage (Earth-616)","Good Characters","Brown Eyes","Black Hair","Male Characters"
"89","Danielle Moonstar (Earth-616)","Good Characters","Brown Eyes","Black Hair","Female Characters"
"83","Sif (Earth-616)","Good Characters","Blue Eyes","Black Hair","Female Characters"
"578","Shadow King (Earth-616)","Bad Characters","Red Eyes","No Hair","Male Characters"
"376","Mary Walker (Earth-616)","Bad Characters","Brown Eyes","Brown Hair","Female Characters"
"1557","Janet Stein (Earth-616)","Bad Characters","Brown Eyes","Brown Hair","Female Characters"
